original_stm,adv_statemant_1,adv_statemant_2,adv_statemant_3,most_important_word,most_effective_attack,sender_id,date,views,origin_pos,origin_neg,origin_nut,adv_pos_1,adv_neg_1,adv_nut_1,adv_pos_2,adv_neg_2,adv_nut_2,adv_pos_3,adv_neg_3,adv_nut_3
#عاجل | حماس: تبادلنا بعض الأفكار مع الوسطاء بهدف وقف العدوان على شعبنا الفلسطيني,عاجل حماس تبادلنا الأفكار الوسطاء بهدف وقق العدوان العدوان الفلسطيني,عاجل حماس تبادلنا الأفكار الوسطاء بهدف وقق العدوات العدوان الفلسطيني,عاجل حماس تبادليا الأفكار الوسطاء بهدف وقق العدوات العدوان الفلسطيني,"وقف,العدوان,تبادلنا","وقق,العدوات,تبادليا",-1001008553432,2024-07-03 18:55:04+00:00,1882.0,0.018622377887368202,0.010379781015217304,0.9709978699684143,0.010300722904503345,0.13429489731788635,0.8554043173789978,0.011708437465131283,0.26729321479797363,0.7209983468055725,0.0070197018794715405,0.6175459027290344,0.37543436884880066
عاجل | حماس: تبادلنا بعض الأفكار مع الوسطاء بهدف وقف العدوان على شعبنا الفلسطيني,عاجل حماس تبادلنا الأفكار الوسطاء بهدف وقق العدوان العدوان الفلسطيني,عاجل حماس تبادلنا الأفكار الوسطاء بهدف وقق العدوات العدوان الفلسطيني,عاجل حماس تبادليا الأفكار الوسطاء بهدف وقق العدوات العدوان الفلسطيني,"وقف,العدوان,تبادلنا","وقق,العدوات,تبادليا",-1001008553432,2024-07-03 18:53:28+00:00,1883.0,0.018622377887368202,0.010379781015217304,0.9709978699684143,0.010300722904503345,0.13429489731788635,0.8554043173789978,0.011708437465131283,0.26729321479797363,0.7209983468055725,0.0070197018794715405,0.6175459027290344,0.37543436884880066
"كيف تتوقع إسرائيل أن يردّ حزب الله على عملية اغتيال ""أبو نعمة""؟",تتوقع إسرائيل يرد حزب الله عملية اغبيال اغتيال,تتوقع إسرائيل يرد حزن الله عملية اغبيال اغتيال,تتوقع إسزائيل يرد حزن الله عملية اغبيال اغتيال,"اغتيال,حزب,إسرائيل","اغبيال,حزن,إسزائيل",-1001008553432,2024-07-03 18:40:21+00:00,2884.0,0.004193095024675131,0.8618758320808411,0.13393111526966095,0.002417344367131591,0.901334285736084,0.09624836593866348,0.002737809903919697,0.9587608575820923,0.03850141167640686,0.0019252686761319637,0.9810572862625122,0.017017396166920662
عاجل | حزب الله: استهدفنا موقع الراهب بقذائف المدفعية ‏وأصابناه مباشرة ‏,عاجل حزب الله استهدفنا موقع الراهب بقذائف المدفعية وأصاثناه وأصابناه,عاجل حزب الله استهدقنا موقع الراهب بقذائف المدفعية وأصاثناه وأصابناه,عاجل حزب الله استهدقنا موقع الراهب بقذائق المدفعية وأصاثناه وأصابناه,"وأصابناه,استهدفنا,بقذائف","وأصاثناه,استهدقنا,بقذائق",-1001008553432,2024-07-03 16:23:24+00:00,3534.0,0.035509947687387466,0.8637529611587524,0.1007370874285698,0.02878478541970253,0.9025566577911377,0.0686584934592247,0.022051353007555008,0.9170600771903992,0.060888584703207016,0.004426280502229929,0.9894945025444031,0.006079148966819048
عاجل | الجيش الإسرائيلي: مقتل جندي في عملية الطعن بمدينة كرمئيل في الشمال,عاجل الجيش الإسرائيلي مقبل جندي عملية الطعن الطعن كرمئيل الشمال,عاجل الجيش الإسرائيلي مقبل جندي عملية الطعث الطعن كرمئيل الشمال,عاجل الجيش الإسرائيلي مقبل جندي عملية الطعث الطعن كرمئيل الشمال,"مقتل,الطعن,الطعن","مقبل,الطعث,الطعث",-1001008553432,2024-07-03 15:25:56+00:00,3779.0,0.034259311854839325,0.8256293535232544,0.14011135697364807,0.04016272351145744,0.8102778196334839,0.1495594084262848,0.048063620924949646,0.6949776411056519,0.2569586932659149,0.048063620924949646,0.6949776411056519,0.2569586932659149
عاجل | مراسلة التلفزيون العربي: إطلاق رشقة صاروخية جديدة من جنوب لبنان,عاجل مراسلة التلفزيون العربي إطلاف رشقة صاروخية صاروخية جنوب لبنان,عاجل مراسلة التلفزيون العربي إطلاف رشقة صاروخىة صاروخية جنوب لبنان,عاجل مراسلة التلفزيون العربي إطلاف رشقة صاروخىة صاروخية جنوب لبنان,"إطلاق,صاروخية,صاروخية","إطلاف,صاروخىة,صاروخىة",-1001008553432,2024-07-03 15:24:29+00:00,4045.0,0.02908238023519516,0.7112821340560913,0.2596355378627777,0.08163298666477203,0.38799968361854553,0.5303673148155212,0.0488644577562809,0.513166069984436,0.437969446182251,0.0488644577562809,0.513166069984436,0.437969446182251
عاجل | سرايا القدس: قصفنا غلاف غزة برشقة صاروخية,عاجل سرايا القدس قصقنا قصفنا غزة برشقة صاروخية,عاجل سزايا القدس قصقنا قصفنا غزة برشقة صاروخية,عاجل سزايا القدس غلاق قصفنا غزة برشقة صاروخية,"قصفنا,سرايا,غلاف","قصقنا,سزايا,غلاق",-1001008553432,2024-07-03 14:36:10+00:00,5357.0,0.07844321429729462,0.7451916337013245,0.17636513710021973,0.04478677362203598,0.8262859582901001,0.12892723083496094,0.011232943274080753,0.9364139437675476,0.052353158593177795,0.007515352219343185,0.9665325880050659,0.025952110067009926
عاجل | مراسلة التلفزيون العربي: إطلاق رشقة صاروخية جديدة من جنوب لبنان,عاجل مراسلة التلفزيون العربي إطلاف رشقة صاروخية صاروخية جنوب لبنان,عاجل مراسلة التلفزيون العربي إطلاف رشقة صاروخىة صاروخية جنوب لبنان,عاجل مراسلة التلفزيون العربي إطلاف رشقة صاروخىة صاروخية جنوب لبنان,"إطلاق,صاروخية,صاروخية","إطلاف,صاروخىة,صاروخىة",-1001008553432,2024-07-03 14:29:42+00:00,4709.0,0.02908238023519516,0.7112821340560913,0.2596355378627777,0.08163298666477203,0.38799968361854553,0.5303673148155212,0.0488644577562809,0.513166069984436,0.437969446182251,0.0488644577562809,0.513166069984436,0.437969446182251
عاجل | وسائل إعلام إسرائيلية: سقوط صاروخ مباشرة على مبنى في غلاف غزة,عاجل وسائل إعلام إسرائيلية سفوط صاروخ صاروخ مبنى غلاف غزة,عاجل وسائل إعلام إسرائيلية سفوط صازوخ صاروخ مبنى غلاف غزة,عاجل وسائل إعلام إسرائيلية سفوط صازوخ صاروخ مبنى غلاف غزة,"سقوط,صاروخ,صاروخ","سفوط,صازوخ,صازوخ",-1001008553432,2024-07-03 13:32:56+00:00,4100.0,0.026085127145051956,0.5474376082420349,0.42647722363471985,0.03689736872911453,0.1120414063334465,0.8510611653327942,0.0423644483089447,0.37824714183807373,0.579388439655304,0.0423644483089447,0.37824714183807373,0.579388439655304
"شركة ميتا تقرر رفع الحظر الشامل على كلمة ""شهيد"".. ما أسباب هذه الخطوة؟",شركة ميتا بقرر رفع الحظر الحظر كلمة شهيد أسباب الخطوة,شركة ميتا بقرر رفع الحظز الحظر كلمة شهيد أسباب الخطوة,شركة ميتا بقرر رفع الحظز الحظر كلمة شهيد أسباب الخطوة,"تقرر,الحظر,الحظر","بقرر,الحظز,الحظز",-1001008553432,2024-07-03 13:32:52+00:00,4137.0,0.017695007845759392,0.4757980704307556,0.5065069198608398,0.0063243224285542965,0.8048046231269836,0.1888710856437683,0.005481446161866188,0.9444302320480347,0.05008837580680847,0.005481446161866188,0.9444302320480347,0.05008837580680847
