original_stm,adv_statemant_1,adv_statemant_2,adv_statemant_3,most_important_word,most_effective_attack,sender_id,date,views,origin_pos,origin_neg,origin_nut,adv_pos_1,adv_neg_1,adv_nut_1,adv_pos_2,adv_neg_2,adv_nut_2,adv_pos_3,adv_neg_3,adv_nut_3
"ي اصدقاء بدي اشتغل ترويج ادويه 
من يساعدني كيف ابدا",اصدقاء بدي اشتغل ترويج ادويه يساعديي يساعدني,اصدقاء بدي اشتغل ترويج ادوىه يساعديي يساعدني,اصدقاء ثدي اشتغل ترويج ادوىه يساعديي يساعدني,"يساعدني,ادويه,بدي","يساعديي,ادوىه,ثدي",6276873504.0,2024-09-08 21:52:22+00:00,,0.037787992507219315,0.04406803101301193,0.9181439876556396,0.028981748968362808,0.027877207845449448,0.9431411027908325,0.03724309429526329,0.03410711511969566,0.9286498427391052,0.026304330676794052,0.027893638238310814,0.9458020925521851
"🌹شغال فوري 
سكليف ينزل في صحتي 🌐
تقرير طبي 📋
شعارمرافق مريض😷
للتواصل +966580655984",شغال فوري سكليف ينزل صحتي تقرير طبي شعارمرافق مريض للنواصل,شغال فوزي سكليف ينزل صحتي تقرير طبي شعارمرافق مريض للنواصل,شغال فوزي سكليف ينزل صحتي تقرير طبي شعارمرافق مزيض للنواصل,"للتواصل,فوري,مريض","للنواصل,فوزي,مزيض",6521332791.0,2024-09-03 18:27:05+00:00,,0.012459507212042809,0.04168476164340973,0.9458557367324829,0.018265582621097565,0.019719785079360008,0.9620146155357361,0.025913652032613754,0.032795924693346024,0.9412904381752014,0.0229103434830904,0.12760061025619507,0.8494890928268433
ماهو افضل علاج ياخر سرعة القذف ويتخلص الواحد منها,ماهو افضل غلاج علاج سرعة القذف ويتخلص الواحد,ماهو اقضل غلاج علاج سرعة القذف ويتخلص الواحد,ماهو اقضل ياخز علاج سرعة القذف ويتخلص الواحد,"علاج,افضل,ياخر","غلاج,اقضل,ياخز",5905895614.0,2024-08-21 00:19:38+00:00,,0.029961105436086655,0.039954569190740585,0.9300842881202698,0.017852190881967545,0.018772652372717857,0.9633750915527344,0.021889204159379005,0.043184444308280945,0.9349263310432434,0.03214126080274582,0.3425765335559845,0.6252821683883667
داكتب Diagnosed واول مدادزها تلقائيا دتنحذف ليش،!,داكتب واول مدادزها تلقائيا دتنحذف لىش,داكتب واول مدادزها تلقائيا دتبحذف لىش,داكتب واول مدادرها تلقائيا دتبحذف لىش,"ليش,دتنحذف,مدادزها","لىش,دتبحذف,مدادرها",6333369669.0,2024-08-16 19:57:37+00:00,,0.012257428839802742,0.7128542065620422,0.27488839626312256,0.057475678622722626,0.15076379477977753,0.7917605638504028,0.08762132376432419,0.2839207351207733,0.6284579634666443,0.04932175204157829,0.15276765823364258,0.7979105710983276
تمرضت قبل فتره وعندي استفسار ع حالتي الصاير بيه!,تمرضت فتره وعندي استفسار حالبي حالتي بيه,تمرضت فتره وعتدي استفسار حالبي حالتي بيه,تمرضت قتره وعتدي استفسار حالبي حالتي بيه,"حالتي,وعندي,فتره","حالبي,وعتدي,قتره",6333369669.0,2024-08-16 19:55:45+00:00,,0.013472378253936768,0.5294756293296814,0.4570520520210266,0.02041000872850418,0.4690740406513214,0.5105159878730774,0.03074789233505726,0.3937234580516815,0.575528621673584,0.014200062490999699,0.8173891305923462,0.16841083765029907
عفواً هاي ثالث مره داكتب وتلقائيا دتنحذف المسج بنفس اللحضه، What is the reason?,عفوا هاي مره داكثب داكتب دتنحذف المسج بنفس اللحضه,عفوا هاى مره داكثب داكتب دتنحذف المسج بنفس اللحضه,عفوا هاى مزه داكثب داكتب دتنحذف المسج بنفس اللحضه,"داكتب,هاي,مره","داكثب,هاى,مزه",6333369669.0,2024-08-16 19:53:20+00:00,,0.10010843724012375,0.2642548978328705,0.6356366872787476,0.052281394600868225,0.309660404920578,0.6380581855773926,0.00720656244084239,0.8543078899383545,0.13848553597927094,0.014461048878729343,0.7534562349319458,0.23208272457122803
في مجموعه واتساب فيها حوالي 500 عضو من يريدها له للاعلانات ولا لعمل,مجموعه واتساب حوالي عضو يزيدها للاعلانات للاعلانات,مجموعه واتساب حوالي عضو يزيدها للاغلانات للاعلانات,مجموعه واتساب حوالي غضو يزيدها للاغلانات للاعلانات,"يريدها,للاعلانات,عضو","يزيدها,للاغلانات,غضو",6008956346.0,2024-08-16 17:50:13+00:00,,0.04886198416352272,0.027194827795028687,0.9239432215690613,0.06357649713754654,0.03943725675344467,0.8969862461090088,0.07916209101676941,0.09584545344114304,0.8249925374984741,0.0017326914239674807,0.9835299849510193,0.014737382531166077
تاج راسكم السعوديه تاكلوا من خيرها وتنكروها,تاج راسكم السعوديه تاكلوا خيرها وبنكروها,تاج راسكم السعوديه ثاكلوا خيرها وبنكروها,تاج راسكم السعودىه ثاكلوا خيرها وبنكروها,"وتنكروها,تاكلوا,السعوديه","وبنكروها,ثاكلوا,السعودىه",7420251653.0,2024-07-30 19:20:20+00:00,,0.006046626251190901,0.9905625581741333,0.0033907971810549498,0.007406541611999273,0.9886900782585144,0.00390339782461524,0.05190394073724747,0.94113689661026,0.006959190592169762,0.01527236308902502,0.9786050319671631,0.006122606806457043
هذا يسماء هبوط الضغط الانتصابي يحصل مع الكثير,يسماء هبوط الضغط الانتصابي يحصل الكثىر,يسماء هثوط الضغط الانتصابي يحصل الكثىر,يسماء هثوط الضغط الانتصاتي يحصل الكثىر,"الكثير,هبوط,الانتصابي","الكثىر,هثوط,الانتصاتي",931359550.0,2024-07-25 22:56:02+00:00,,0.0026717782020568848,0.9868841171264648,0.01044416707009077,0.0031587546691298485,0.9806273579597473,0.016213931143283844,0.0030026547610759735,0.9782825112342834,0.018714847043156624,0.005656221881508827,0.927995502948761,0.06634833663702011
اكيد فجئه حتى تظلم العيون وإرهاق,اكيد فجئه تظلم العيون وإرهاف,اكيد فجئه نظلم العيون وإرهاف,اكيد قجئه نظلم العيون وإرهاف,"وإرهاق,تظلم,فجئه","وإرهاف,نظلم,قجئه",5880189056.0,2024-07-25 22:53:12+00:00,,0.004139412194490433,0.9905644655227661,0.005296143237501383,0.004318461753427982,0.9884718656539917,0.00720978481695056,0.004199149087071419,0.9782123565673828,0.017588427290320396,0.0566176101565361,0.6735742092132568,0.2698081433773041
